id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,55
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.15,62
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,48
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,81
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,40
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,52
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,58
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,50
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.10,66
11,Concrete Kingdom,Vell the Architect,hip-hop,energetic,0.78,96,0.62,0.85,0.08,0.05,72
12,Velvet Hours,Mara Sol,soul/r&b,romantic,0.48,84,0.68,0.71,0.42,0.12,64
13,Pulse Republic,Kilowatt,electronic,intense,0.95,128,0.72,0.91,0.03,0.55,75
14,Grandma's Porch,The Willow Kind,folk,nostalgic,0.33,68,0.55,0.44,0.94,0.25,44
15,Payday Strut,Brass Cartel,funk,happy,0.80,112,0.88,0.90,0.20,0.20,60
16,Ashfall,Iron Verdict,metal,aggressive,0.97,168,0.30,0.52,0.04,0.18,57
17,Empty Side of Bed,Noor Amara,soul/r&b,sad,0.30,66,0.22,0.48,0.66,0.08,53
18,Island Time Delay,Reef Signal,reggae,relaxed,0.52,74,0.79,0.76,0.55,0.30,59
